comment,age_group,comment_length,word_count,processed_tokens,processed_text
need to schedule a doctor appointment,25-34,37,6,"['need', 'schedule', 'doctor', 'appointment']",need schedule doctor appointment
dating apps are the worst,18-24,25,5,"['dating', 'apps', 'worst']",dating apps worst
need to schedule a doctor appointment,25-34,37,6,"['need', 'schedule', 'doctor', 'appointment']",need schedule doctor appointment
really grandchildren visiting this weekend,35-49,42,5,"['really', 'grandchild', 'visiting', 'weekend']",really grandchild visiting weekend
THAT'S SUS,<18,10,2,"['thats', 'sus']",thats sus
golden years indeed!!,50+,21,3,"['golden', 'year', 'indeed']",golden year indeed
ACTUALLY MY STUDENT LOANS ARE KILLING ME!!,18-24,42,7,"['actually', 'student', 'loan', 'killing']",actually student loan killing
just meal prepped for the week,18-24,30,6,"['meal', 'prepped', 'week']",meal prepped week
side hustle paying off!!!,18-24,25,4,"['side', 'hustle', 'paying']",side hustle paying
planning for retirement!!!,35-49,26,3,"['planning', 'retirement']",planning retirement
working remote has pros and cons,18-24,32,6,"['working', 'remote', 'pro', 'con']",working remote pro con
just meal prepped for the week!,18-24,31,6,"['meal', 'prepped', 'week']",meal prepped week
BRUH MOMENT FR,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
thinking about changing careers!!,25-34,33,4,"['thinking', 'changing', 'career']",thinking changing career
health insurance costs are rising,35-49,33,5,"['health', 'insurance', 'cost', 'rising']",health insurance cost rising
mortgage rates super are insane,25-34,31,5,"['mortgage', 'rate', 'super', 'insane']",mortgage rate super insane
omg totally this is so lit!!!,<18,29,6,"['omg', 'totally', 'lit']",omg totally lit
MY STUDENT LOANS ARE KILLING ME,18-24,31,6,"['student', 'loan', 'killing']",student loan killing
investing for retirement!!,25-34,26,3,"['investing', 'retirement']",investing retirement
arthritis acting up today,50+,25,4,"['arthritis', 'acting', 'today']",arthritis acting today
that's sus!!!,<18,13,2,"['thats', 'sus']",thats sus
BRUH MOMENT FR,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
adulting is hard,18-24,16,3,"['adulting', 'hard']",adulting hard
planning for retirement,35-49,23,3,"['planning', 'retirement']",planning retirement
my kids are driving me crazy,25-34,28,6,"['kid', 'driving', 'crazy']",kid driving crazy
no cap this slaps!,<18,18,4,"['cap', 'slap']",cap slap
need to schedule a doctor appointment,25-34,37,6,"['need', 'schedule', 'doctor', 'appointment']",need schedule doctor appointment
need coffee to function,18-24,23,4,"['need', 'coffee', 'function']",need coffee function
yeet!!,<18,6,1,['yeet'],yeet
grandchildren are such a blessing,50+,33,5,"['grandchild', 'blessing']",grandchild blessing
working remote has pros and cons!!!,18-24,35,6,"['working', 'remote', 'pro', 'con']",working remote pro con
business trip next week,25-34,23,4,"['business', 'trip', 'next', 'week']",business trip next week
this is fire,<18,12,3,['fire'],fire
empty nest syndrome is real,35-49,27,5,"['empty', 'nest', 'syndrome', 'real']",empty nest syndrome real
that's sus,<18,10,2,"['thats', 'sus']",thats sus
thinking about changing careers!!,25-34,33,4,"['thinking', 'changing', 'career']",thinking changing career
bridge club meeting,50+,19,3,"['bridge', 'club', 'meeting']",bridge club meeting
business trip week,25-34,18,3,"['business', 'trip', 'week']",business trip week
slay queen!,<18,11,2,"['slay', 'queen']",slay queen
technology moves too fast,50+,25,4,"['technology', 'move', 'fast']",technology move fast
grandchildren are such a blessing,50+,33,5,"['grandchild', 'blessing']",grandchild blessing
remote has pros and cons!,18-24,25,5,"['remote', 'pro', 'con']",remote pro con
parent-teacher conference today,25-34,31,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
no cap this slaps!,<18,18,4,"['cap', 'slap']",cap slap
empty nest syndrome is real,35-49,27,5,"['empty', 'nest', 'syndrome', 'real']",empty nest syndrome real
need to absolutely schedule a doctor appointment,25-34,48,7,"['need', 'absolutely', 'schedule', 'doctor', 'appointment']",need absolutely schedule doctor appointment
my student loans are killing me,18-24,31,6,"['student', 'loan', 'killing']",student loan killing
investing for retirement,25-34,24,3,"['investing', 'retirement']",investing retirement
dating apps are the worst!!!,18-24,28,5,"['dating', 'apps', 'worst']",dating apps worst
considering downsizing super our home,35-49,37,5,"['considering', 'downsizing', 'super', 'home']",considering downsizing super home
just meal prepped for the week,18-24,30,6,"['meal', 'prepped', 'week']",meal prepped week
balance is important,25-34,20,3,"['balance', 'important']",balance important
my student loans are killing me!!,18-24,33,6,"['student', 'loan', 'killing']",student loan killing
retirement is wonderful!!,50+,25,3,"['retirement', 'wonderful']",retirement wonderful
investing for retirement,25-34,24,3,"['investing', 'retirement']",investing retirement
working remote has pros and cons!,18-24,33,6,"['working', 'remote', 'pro', 'con']",working remote pro con
investing for retirement,25-34,24,3,"['investing', 'retirement']",investing retirement
looking forward to the weekend,25-34,30,5,"['looking', 'forward', 'weekend']",looking forward weekend
my student are killing me!!!,18-24,28,5,"['student', 'killing']",student killing
side hustle paying off,18-24,22,4,"['side', 'hustle', 'paying']",side hustle paying
reunion totally with old friends,35-49,32,5,"['reunion', 'totally', 'old', 'friend']",reunion totally old friend
networking event tonight,18-24,24,3,"['networking', 'event', 'tonight']",networking event tonight
golden years indeed,50+,19,3,"['golden', 'year', 'indeed']",golden year indeed
side hustle paying totally off,18-24,30,5,"['side', 'hustle', 'paying', 'totally']",side hustle paying totally
need coffee to function,18-24,23,4,"['need', 'coffee', 'function']",need coffee function
big mood,<18,8,2,"['big', 'mood']",big mood
my student loans are killing me,18-24,31,6,"['student', 'loan', 'killing']",student loan killing
side hustle paying off,18-24,22,4,"['side', 'hustle', 'paying']",side hustle paying
technology moves too fast,50+,25,4,"['technology', 'move', 'fast']",technology move fast
my kids are driving me crazy,25-34,28,6,"['kid', 'driving', 'crazy']",kid driving crazy
big mood,<18,8,2,"['big', 'mood']",big mood
technology moves too fast!!,50+,27,4,"['technology', 'move', 'fast']",technology move fast
investing for retirement,25-34,24,3,"['investing', 'retirement']",investing retirement
senior discount is the best part,50+,32,6,"['senior', 'discount', 'best', 'part']",senior discount best part
proud of my accomplishments,35-49,27,4,"['proud', 'accomplishment']",proud accomplishment
bridge club meeting!!!,50+,22,3,"['bridge', 'club', 'meeting']",bridge club meeting
side hustle paying off!,18-24,23,4,"['side', 'hustle', 'paying']",side hustle paying
lowkey with this!,<18,17,3,['lowkey'],lowkey
GRANDCHILDREN LITERALLY VISITING THIS WEEKEND!!!,35-49,48,5,"['grandchild', 'literally', 'visiting', 'weekend']",grandchild literally visiting weekend
big mood!!!,<18,11,2,"['big', 'mood']",big mood
networking event tonight,18-24,24,3,"['networking', 'event', 'tonight']",networking event tonight
managing aging parents and grown kids,35-49,37,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
grandchildren visiting this weekend,35-49,35,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
parent-teacher conference today,25-34,31,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
THINKING ABOUT CHANGING CAREERS!!!,25-34,34,4,"['thinking', 'changing', 'career']",thinking changing career
HOME RENOVATION PROJECT,25-34,23,3,"['home', 'renovation', 'project']",home renovation project
my kids are driving me crazy,25-34,28,6,"['kid', 'driving', 'crazy']",kid driving crazy
health insurance costs are rising,35-49,33,5,"['health', 'insurance', 'cost', 'rising']",health insurance cost rising
no cap this slaps!!,<18,19,4,"['cap', 'slap']",cap slap
considering downsizing our home,35-49,31,4,"['considering', 'downsizing', 'home']",considering downsizing home
that's sus,<18,10,2,"['thats', 'sus']",thats sus
mortgage are insane,25-34,19,3,"['mortgage', 'insane']",mortgage insane
need coffee to function,18-24,23,4,"['need', 'coffee', 'function']",need coffee function
proud of my children's accomplishments!!,35-49,40,5,"['proud', 'childrens', 'accomplishment']",proud childrens accomplishment
looking very forward to the weekend!!,25-34,37,6,"['looking', 'forward', 'weekend']",looking forward weekend
PLANNING FOR RETIREMENT,35-49,23,3,"['planning', 'retirement']",planning retirement
really no cap this slaps,<18,24,5,"['really', 'cap', 'slap']",really cap slap
retirement is wonderful,50+,23,3,"['retirement', 'wonderful']",retirement wonderful
parent-teacher conference today!!,25-34,33,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
reunion with old friends,35-49,24,4,"['reunion', 'old', 'friend']",reunion old friend
need coffee to function,18-24,23,4,"['need', 'coffee', 'function']",need coffee function
just meal prepped for the week!!!,18-24,33,6,"['meal', 'prepped', 'week']",meal prepped week
that's sus!!,<18,12,2,"['thats', 'sus']",thats sus
parent-teacher conference today,25-34,31,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
business trip next week!!!,25-34,26,4,"['business', 'trip', 'next', 'week']",business trip next week
grandchildren literally are such a blessing,50+,43,6,"['grandchild', 'literally', 'blessing']",grandchild literally blessing
back in my day,50+,14,4,"['back', 'day']",back day
back in my day!!!,50+,17,4,"['back', 'day']",back day
THAT'S SUS,<18,10,2,"['thats', 'sus']",thats sus
health insurance costs are rising,35-49,33,5,"['health', 'insurance', 'cost', 'rising']",health insurance cost rising
slay queen,<18,10,2,"['slay', 'queen']",slay queen
my kids are driving me crazy!,25-34,29,6,"['kid', 'driving', 'crazy']",kid driving crazy
my kids are driving absolutely me crazy!!!,25-34,42,7,"['kid', 'driving', 'absolutely', 'crazy']",kid driving absolutely crazy
remember when phones had cords,50+,30,5,"['remember', 'phone', 'cord']",remember phone cord
BIG MOOD,<18,8,2,"['big', 'mood']",big mood
senior discount the best part,50+,29,5,"['senior', 'discount', 'best', 'part']",senior discount best part
health insurance costs are rising!!,35-49,35,5,"['health', 'insurance', 'cost', 'rising']",health insurance cost rising
arthritis acting up today,50+,25,4,"['arthritis', 'acting', 'today']",arthritis acting today
my kids are driving me crazy!,25-34,29,6,"['kid', 'driving', 'crazy']",kid driving crazy
bruh moment fr,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
home renovation project!!,25-34,25,3,"['home', 'renovation', 'project']",home renovation project
my student loans are killing me!!,18-24,33,6,"['student', 'loan', 'killing']",student loan killing
technology moves too fast!!,50+,27,4,"['technology', 'move', 'fast']",technology move fast
business trip next week,25-34,23,4,"['business', 'trip', 'next', 'week']",business trip next week
grandchildren are such a blessing,50+,33,5,"['grandchild', 'blessing']",grandchild blessing
arthritis acting up today,50+,25,4,"['arthritis', 'acting', 'today']",arthritis acting today
investing for retirement,25-34,24,3,"['investing', 'retirement']",investing retirement
bruh moment fr,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
working remote has pros and cons!,18-24,33,6,"['working', 'remote', 'pro', 'con']",working remote pro con
my kids are driving me crazy,25-34,28,6,"['kid', 'driving', 'crazy']",kid driving crazy
senior discount is very the best part,50+,37,7,"['senior', 'discount', 'best', 'part']",senior discount best part
reunion with actually old friends!!,35-49,35,5,"['reunion', 'actually', 'old', 'friend']",reunion actually old friend
omg this is so lit,<18,18,5,"['omg', 'lit']",omg lit
dating apps are absolutely the worst,18-24,36,6,"['dating', 'apps', 'absolutely', 'worst']",dating apps absolutely worst
my kids are driving me crazy,25-34,28,6,"['kid', 'driving', 'crazy']",kid driving crazy
managing aging parents and grown kids!!!,35-49,40,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
grandchildren visiting this weekend!!,35-49,37,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
home renovation project!,25-34,24,3,"['home', 'renovation', 'project']",home renovation project
really no cap this slaps!,<18,25,5,"['really', 'cap', 'slap']",really cap slap
bruh moment fr,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
REUNION WITH OLD FRIENDS!!,35-49,26,4,"['reunion', 'old', 'friend']",reunion old friend
big mood,<18,8,2,"['big', 'mood']",big mood
big mood,<18,8,2,"['big', 'mood']",big mood
BIG MOOD!,<18,9,2,"['big', 'mood']",big mood
parent-teacher conference today!,25-34,32,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
thinking absolutely about changing careers,25-34,42,5,"['thinking', 'absolutely', 'changing', 'career']",thinking absolutely changing career
need basically coffee to function!,18-24,34,5,"['need', 'basically', 'coffee', 'function']",need basically coffee function
grandchildren are such a blessing,50+,33,5,"['grandchild', 'blessing']",grandchild blessing
blood pressure medication,35-49,25,3,"['blood', 'pressure', 'medication']",blood pressure medication
just meal prepped for the week,18-24,30,6,"['meal', 'prepped', 'week']",meal prepped week
that's sus!!!,<18,13,2,"['thats', 'sus']",thats sus
health insurance costs are rising,35-49,33,5,"['health', 'insurance', 'cost', 'rising']",health insurance cost rising
big mood!!!,<18,11,2,"['big', 'mood']",big mood
VIBING WITH MY BESTIES,<18,22,4,"['vibing', 'besties']",vibing besties
side hustle paying off,18-24,22,4,"['side', 'hustle', 'paying']",side hustle paying
my absolutely student loans are killing me!!,18-24,44,7,"['absolutely', 'student', 'loan', 'killing']",absolutely student loan killing
back in my day,50+,14,4,"['back', 'day']",back day
need totally to schedule a doctor appointment,25-34,45,7,"['need', 'totally', 'schedule', 'doctor', 'appointment']",need totally schedule doctor appointment
business trip next week,25-34,23,4,"['business', 'trip', 'next', 'week']",business trip next week
no cap this slaps,<18,17,4,"['cap', 'slap']",cap slap
yeet,<18,4,1,['yeet'],yeet
networking event tonight!,18-24,25,3,"['networking', 'event', 'tonight']",networking event tonight
empty nest syndrome is real,35-49,27,5,"['empty', 'nest', 'syndrome', 'real']",empty nest syndrome real
parent-teacher conference today,25-34,31,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
arthritis acting up,50+,19,3,"['arthritis', 'acting']",arthritis acting
my daughter is graduating totally college,35-49,41,6,"['daughter', 'graduating', 'totally', 'college']",daughter graduating totally college
JUST FINISHED MY FINALS,18-24,23,4,"['finished', 'final']",finished final
no cap this slaps,<18,17,4,"['cap', 'slap']",cap slap
vibing with my besties,<18,22,4,"['vibing', 'besties']",vibing besties
remember when had cords,50+,23,4,"['remember', 'cord']",remember cord
reunion with old friends,35-49,24,4,"['reunion', 'old', 'friend']",reunion old friend
managing aging parents and grown kids!!,35-49,39,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
investing for retirement,25-34,24,3,"['investing', 'retirement']",investing retirement
my student loans are killing me!!!,18-24,34,6,"['student', 'loan', 'killing']",student loan killing
omg this is so lit,<18,18,5,"['omg', 'lit']",omg lit
JUST FINISHED MY FINALS,18-24,23,4,"['finished', 'final']",finished final
to schedule a doctor appointment,25-34,32,5,"['schedule', 'doctor', 'appointment']",schedule doctor appointment
just meal prepped for the week,18-24,30,6,"['meal', 'prepped', 'week']",meal prepped week
health insurance costs are rising,35-49,33,5,"['health', 'insurance', 'cost', 'rising']",health insurance cost rising
parent-teacher conference today,25-34,31,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
yeet,<18,4,1,['yeet'],yeet
arthritis acting up today,50+,25,4,"['arthritis', 'acting', 'today']",arthritis acting today
lowkey obsessed with this,<18,25,4,"['lowkey', 'obsessed']",lowkey obsessed
dating apps are the worst,18-24,25,5,"['dating', 'apps', 'worst']",dating apps worst
my kids are driving me crazy,25-34,28,6,"['kid', 'driving', 'crazy']",kid driving crazy
golden years indeed,50+,19,3,"['golden', 'year', 'indeed']",golden year indeed
APARTMENT HUNTING IS STRESSFUL,18-24,30,4,"['apartment', 'hunting', 'stressful']",apartment hunting stressful
work-life balance is important,25-34,30,4,"['worklife', 'balance', 'important']",worklife balance important
PARENT-TEACHER CONFERENCE TODAY,25-34,31,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
daughter is graduating college,35-49,30,4,"['daughter', 'graduating', 'college']",daughter graduating college
planning for retirement!,35-49,24,3,"['planning', 'retirement']",planning retirement
slay queen,<18,10,2,"['slay', 'queen']",slay queen
omg this is so,<18,14,4,['omg'],omg
just finished my finals,18-24,23,4,"['finished', 'final']",finished final
working remote has pros and cons!!,18-24,34,6,"['working', 'remote', 'pro', 'con']",working remote pro con
home renovation project!!,25-34,25,3,"['home', 'renovation', 'project']",home renovation project
retirement is wonderful,50+,23,3,"['retirement', 'wonderful']",retirement wonderful
planning for retirement,35-49,23,3,"['planning', 'retirement']",planning retirement
side hustle paying off,18-24,22,4,"['side', 'hustle', 'paying']",side hustle paying
HEALTH INSURANCE COSTS ARE RISING!,35-49,34,5,"['health', 'insurance', 'cost', 'rising']",health insurance cost rising
reunion with old friends,35-49,24,4,"['reunion', 'old', 'friend']",reunion old friend
side hustle honestly paying off!,18-24,32,5,"['side', 'hustle', 'honestly', 'paying']",side hustle honestly paying
blood pressure medication!,35-49,26,3,"['blood', 'pressure', 'medication']",blood pressure medication
senior discount is the best part,50+,32,6,"['senior', 'discount', 'best', 'part']",senior discount best part
slay queen,<18,10,2,"['slay', 'queen']",slay queen
absolutely side hustle paying off,18-24,33,5,"['absolutely', 'side', 'hustle', 'paying']",absolutely side hustle paying
planning for retirement!,35-49,24,3,"['planning', 'retirement']",planning retirement
retirement is wonderful!!,50+,25,3,"['retirement', 'wonderful']",retirement wonderful
thinking about changing careers,25-34,31,4,"['thinking', 'changing', 'career']",thinking changing career
considering downsizing our home!!,35-49,33,4,"['considering', 'downsizing', 'home']",considering downsizing home
health insurance costs rising,35-49,29,4,"['health', 'insurance', 'cost', 'rising']",health insurance cost rising
working remote has pros and cons,18-24,32,6,"['working', 'remote', 'pro', 'con']",working remote pro con
remember totally when phones had cords,50+,38,6,"['remember', 'totally', 'phone', 'cord']",remember totally phone cord
parent-teacher conference today,25-34,31,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
managing aging parents and grown!!,35-49,34,5,"['managing', 'aging', 'parent', 'grown']",managing aging parent grown
slay queen,<18,10,2,"['slay', 'queen']",slay queen
health insurance costs are rising!!,35-49,35,5,"['health', 'insurance', 'cost', 'rising']",health insurance cost rising
with my besties,<18,15,3,['besties'],besties
bridge club meeting!!,50+,21,3,"['bridge', 'club', 'meeting']",bridge club meeting
just finished my finals,18-24,23,4,"['finished', 'final']",finished final
managing aging parents and grown kids,35-49,37,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
PLANNING FOR RETIREMENT,35-49,23,3,"['planning', 'retirement']",planning retirement
just finished my finals!!,18-24,25,4,"['finished', 'final']",finished final
business trip next week,25-34,23,4,"['business', 'trip', 'next', 'week']",business trip next week
arthritis up today,50+,18,3,"['arthritis', 'today']",arthritis today
grandchildren are such a blessing!!,50+,35,5,"['grandchild', 'blessing']",grandchild blessing
NETWORKING EVENT TONIGHT,18-24,24,3,"['networking', 'event', 'tonight']",networking event tonight
lowkey obsessed with,<18,20,3,"['lowkey', 'obsessed']",lowkey obsessed
yeet,<18,4,1,['yeet'],yeet
omg this is so lit!!!,<18,21,5,"['omg', 'lit']",omg lit
grandchildren are such a blessing!,50+,34,5,"['grandchild', 'blessing']",grandchild blessing
vibing kinda with my besties,<18,28,5,"['vibing', 'kinda', 'besties']",vibing kinda besties
that's sus,<18,10,2,"['thats', 'sus']",thats sus
just finished my finals,18-24,23,4,"['finished', 'final']",finished final
EMPTY SYNDROME IS REAL,35-49,22,4,"['empty', 'syndrome', 'real']",empty syndrome real
no cap this slaps!!!,<18,20,4,"['cap', 'slap']",cap slap
considering downsizing our home,35-49,31,4,"['considering', 'downsizing', 'home']",considering downsizing home
no cap this slaps,<18,17,4,"['cap', 'slap']",cap slap
retirement is wonderful!!!,50+,26,3,"['retirement', 'wonderful']",retirement wonderful
just finished my finals,18-24,23,4,"['finished', 'final']",finished final
vibing with my besties!,<18,23,4,"['vibing', 'besties']",vibing besties
grandchildren are such a blessing!,50+,34,5,"['grandchild', 'blessing']",grandchild blessing
looking forward basically to the weekend,25-34,40,6,"['looking', 'forward', 'basically', 'weekend']",looking forward basically weekend
apartment hunting is stressful!!!,18-24,33,4,"['apartment', 'hunting', 'stressful']",apartment hunting stressful
back in day,50+,11,3,"['back', 'day']",back day
that's sus,<18,10,2,"['thats', 'sus']",thats sus
BUSINESS TRIP NEXT WEEK,25-34,23,4,"['business', 'trip', 'next', 'week']",business trip next week
retirement is wonderful,50+,23,3,"['retirement', 'wonderful']",retirement wonderful
retirement is wonderful,50+,23,3,"['retirement', 'wonderful']",retirement wonderful
adulting is hard,18-24,16,3,"['adulting', 'hard']",adulting hard
networking event tonight!!!,18-24,27,3,"['networking', 'event', 'tonight']",networking event tonight
my kids are driving me crazy!,25-34,29,6,"['kid', 'driving', 'crazy']",kid driving crazy
bridge club meeting,50+,19,3,"['bridge', 'club', 'meeting']",bridge club meeting
home renovation project!,25-34,24,3,"['home', 'renovation', 'project']",home renovation project
side hustle paying off!!!,18-24,25,4,"['side', 'hustle', 'paying']",side hustle paying
empty nest syndrome is real,35-49,27,5,"['empty', 'nest', 'syndrome', 'real']",empty nest syndrome real
slay queen,<18,10,2,"['slay', 'queen']",slay queen
considering downsizing our home,35-49,31,4,"['considering', 'downsizing', 'home']",considering downsizing home
OMG THIS IS SO LIT,<18,18,5,"['omg', 'lit']",omg lit
mortgage rates literally are insane,25-34,35,5,"['mortgage', 'rate', 'literally', 'insane']",mortgage rate literally insane
senior discount is the best part,50+,32,6,"['senior', 'discount', 'best', 'part']",senior discount best part
GOLDEN YEARS INDEED!,50+,20,3,"['golden', 'year', 'indeed']",golden year indeed
yeet!!,<18,6,1,['yeet'],yeet
networking event tonight,18-24,24,3,"['networking', 'event', 'tonight']",networking event tonight
YEET!!!,<18,7,1,['yeet'],yeet
need coffee to function,18-24,23,4,"['need', 'coffee', 'function']",need coffee function
side hustle paying off,18-24,22,4,"['side', 'hustle', 'paying']",side hustle paying
just literally finished my finals,18-24,33,5,"['literally', 'finished', 'final']",literally finished final
my kids are driving me crazy,25-34,28,6,"['kid', 'driving', 'crazy']",kid driving crazy
ADULTING IS HARD,18-24,16,3,"['adulting', 'hard']",adulting hard
side hustle paying,18-24,18,3,"['side', 'hustle', 'paying']",side hustle paying
mortgage rates are insane,25-34,25,4,"['mortgage', 'rate', 'insane']",mortgage rate insane
ARTHRITIS ABSOLUTELY ACTING UP TODAY,50+,36,5,"['arthritis', 'absolutely', 'acting', 'today']",arthritis absolutely acting today
that's sus!!,<18,12,2,"['thats', 'sus']",thats sus
dating apps are the worst!!,18-24,27,5,"['dating', 'apps', 'worst']",dating apps worst
blood pressure medication,35-49,25,3,"['blood', 'pressure', 'medication']",blood pressure medication
my kids are driving me crazy,25-34,28,6,"['kid', 'driving', 'crazy']",kid driving crazy
OMG THIS IS SO LIT,<18,18,5,"['omg', 'lit']",omg lit
bruh moment fr!!,<18,16,3,"['bruh', 'moment', 'fr']",bruh moment fr
golden years indeed,50+,19,3,"['golden', 'year', 'indeed']",golden year indeed
side hustle paying off,18-24,22,4,"['side', 'hustle', 'paying']",side hustle paying
need to schedule a doctor basically appointment,25-34,47,7,"['need', 'schedule', 'doctor', 'basically', 'appointment']",need schedule doctor basically appointment
this is fire,<18,12,3,['fire'],fire
no cap this slaps,<18,17,4,"['cap', 'slap']",cap slap
bruh moment fr,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
dating apps are the worst!,18-24,26,5,"['dating', 'apps', 'worst']",dating apps worst
THINKING ABOUT CHANGING CAREERS,25-34,31,4,"['thinking', 'changing', 'career']",thinking changing career
technology moves too fast,50+,25,4,"['technology', 'move', 'fast']",technology move fast
working remote actually has pros and cons,18-24,41,7,"['working', 'remote', 'actually', 'pro', 'con']",working remote actually pro con
arthritis acting up today,50+,25,4,"['arthritis', 'acting', 'today']",arthritis acting today
slay queen,<18,10,2,"['slay', 'queen']",slay queen
senior discount is the best part,50+,32,6,"['senior', 'discount', 'best', 'part']",senior discount best part
back in day,50+,11,3,"['back', 'day']",back day
home renovation project,25-34,23,3,"['home', 'renovation', 'project']",home renovation project
bridge club meeting,50+,19,3,"['bridge', 'club', 'meeting']",bridge club meeting
slay queen!,<18,11,2,"['slay', 'queen']",slay queen
this is fire!!!,<18,15,3,['fire'],fire
empty nest syndrome is,35-49,22,4,"['empty', 'nest', 'syndrome']",empty nest syndrome
golden years indeed,50+,19,3,"['golden', 'year', 'indeed']",golden year indeed
DATING APPS ARE THE,18-24,19,4,"['dating', 'apps']",dating apps
that's sus,<18,10,2,"['thats', 'sus']",thats sus
big mood,<18,8,2,"['big', 'mood']",big mood
investing for retirement,25-34,24,3,"['investing', 'retirement']",investing retirement
mortgage rates are insane,25-34,25,4,"['mortgage', 'rate', 'insane']",mortgage rate insane
basically vibing with my besties!,<18,33,5,"['basically', 'vibing', 'besties']",basically vibing besties
MY STUDENT LOANS ARE KILLING ME,18-24,31,6,"['student', 'loan', 'killing']",student loan killing
parent-teacher conference today,25-34,31,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
golden years indeed,50+,19,3,"['golden', 'year', 'indeed']",golden year indeed
dating apps the worst,18-24,21,4,"['dating', 'apps', 'worst']",dating apps worst
managing aging parents and grown kids,35-49,37,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
back in my day,50+,14,4,"['back', 'day']",back day
forward to the weekend!,25-34,23,4,"['forward', 'weekend']",forward weekend
big mood,<18,8,2,"['big', 'mood']",big mood
dating apps the worst!,18-24,22,4,"['dating', 'apps', 'worst']",dating apps worst
mortgage rates are insane,25-34,25,4,"['mortgage', 'rate', 'insane']",mortgage rate insane
bruh moment fr,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
parent-teacher conference today,25-34,31,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
retirement is wonderful,50+,23,3,"['retirement', 'wonderful']",retirement wonderful
no cap this slaps,<18,17,4,"['cap', 'slap']",cap slap
THINKING ABOUT CHANGING CAREERS,25-34,31,4,"['thinking', 'changing', 'career']",thinking changing career
that's sus,<18,10,2,"['thats', 'sus']",thats sus
SENIOR IS THE BEST PART,50+,23,5,"['senior', 'best', 'part']",senior best part
lowkey obsessed with this,<18,25,4,"['lowkey', 'obsessed']",lowkey obsessed
that's sus,<18,10,2,"['thats', 'sus']",thats sus
bruh moment fr!,<18,15,3,"['bruh', 'moment', 'fr']",bruh moment fr
of my children's accomplishments,35-49,32,4,"['childrens', 'accomplishment']",childrens accomplishment
mortgage rates are insane,25-34,25,4,"['mortgage', 'rate', 'insane']",mortgage rate insane
looking forward to the weekend,25-34,30,5,"['looking', 'forward', 'weekend']",looking forward weekend
reunion with old friends!,35-49,25,4,"['reunion', 'old', 'friend']",reunion old friend
my daughter is graduating college,35-49,33,5,"['daughter', 'graduating', 'college']",daughter graduating college
INVESTING FOR RETIREMENT!,25-34,25,3,"['investing', 'retirement']",investing retirement
bridge club meeting,50+,19,3,"['bridge', 'club', 'meeting']",bridge club meeting
proud of my super children's accomplishments,35-49,44,6,"['proud', 'super', 'childrens', 'accomplishment']",proud super childrens accomplishment
vibing with my besties,<18,22,4,"['vibing', 'besties']",vibing besties
that's sus,<18,10,2,"['thats', 'sus']",thats sus
my student loans are killing me!!,18-24,33,6,"['student', 'loan', 'killing']",student loan killing
health insurance costs are rising!!!,35-49,36,5,"['health', 'insurance', 'cost', 'rising']",health insurance cost rising
thinking about changing careers!!,25-34,33,4,"['thinking', 'changing', 'career']",thinking changing career
VISITING THIS WEEKEND,35-49,21,3,"['visiting', 'weekend']",visiting weekend
BRIDGE CLUB MEETING!!!,50+,22,3,"['bridge', 'club', 'meeting']",bridge club meeting
business trip next week,25-34,23,4,"['business', 'trip', 'next', 'week']",business trip next week
my student are killing me,18-24,25,5,"['student', 'killing']",student killing
doctor appointments totally every week,50+,38,5,"['doctor', 'appointment', 'totally', 'every', 'week']",doctor appointment totally every week
side hustle paying off!!,18-24,24,4,"['side', 'hustle', 'paying']",side hustle paying
MANAGING AGING PARENTS AND GROWN KIDS,35-49,37,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
that's sus,<18,10,2,"['thats', 'sus']",thats sus
mortgage rates are insane!!,25-34,27,4,"['mortgage', 'rate', 'insane']",mortgage rate insane
